,player_international,actual_team,number,Name,Nationalite,mois_de_naissance,jour_de_naissance,anne_de_naissance,age_actuel,taille_en_m,Poste,Pied_fort,id,Unnamed: 0,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,dico_fifa,Dribbling,Marking,Aggression,Reactions,Interceptions,Vision,Composure,Crossing,Acceleration,Strength,Balance,Agility,Penalties,Volleys,Power,Jumping,Heading,Curve,Injury,Finishing
0,True, Valence CF,7,Edinson Roberto Cavani Gómez, Uruguayen Italien,février,14,1987,35,"1,88",Attaquant,Droit,3294,0,Edinson Cavani,32,2592,28,24.31458006054163,6,6.4004941545426846,106,38,3,0,F S,Paris Saint Germain,25,20.514118053019047,29.75093987584114,5.191347144544125,"{'Dribbling': '71', 'Marking': '45', 'Aggression': '81', 'Reactions': '85', 'Interceptions': '54', 'Vision': '74', 'Composure': '82', 'Crossing': '66', 'Acceleration': '60', 'Stamina': '70', 'Strength': '75', 'Balance': '57', 'Agility': '64', 'Jumping': '87', 'Heading': '85', 'Finishing': '85', 'Curve': '76', 'Penalties': '84', 'Volleys': '86', 'Injury': 'Prone', 'Power': 'Header', 'id': 3294}",71,45,81,85,54,74,82,66,60,75,,64,84,86,Header,87,85,76,Prone,85
1,True, Tigres UANL,26,Florian Tristan Mariano Thauvin[1], Français,janvier,26,1993,29,"1,79",Milieu offensif / Ailier droit,Gauche,942,1,Florian Thauvin,35,2973,22,17.187834814190865,11,13.00877781957388,129,75,6,0,F M,Marseille,19,14.148056656122208,29.72486056108028,10.166102330200374,"{'Dribbling': '79', 'Marking': '51', 'Aggression': '56', 'Reactions': '81', 'Interceptions': '49', 'Vision': '76', 'Composure': '81', 'Crossing': '79', 'Acceleration': '80', 'Stamina': '81', 'Strength': '69', 'Balance': '72', 'Agility': '84', 'Jumping': '76', 'Heading': '70', 'Finishing': '72', 'Curve': '84', 'Penalties': '78', 'Volleys': '75', 'Finesse': 'Shot'}",79,51,56,81,49,76,81,79,80,69,,84,78,75,,76,70,84,,72
2,True, FC Barcelone,14,, Néerlandais,février,13,1994,28,"1,78",Attaquant,Droit,555,2,Memphis Depay,36,2569,19,13.003762170672417,13,7.758002858608961,106,75,2,0,F M S,Lyon,17,11.48357917368412,19.44432764314115,6.923560222610831,"{'Dribbling': '87', 'Marking': 'None', 'Aggression': '72', 'Reactions': '84', 'Interceptions': '28', 'Vision': '85', 'Composure': '80', 'Crossing': '84', 'Acceleration': '82', 'Stamina': '79', 'Strength': '83', 'Balance': '81', 'Agility': '80', 'Jumping': '69', 'Heading': '65', 'Finishing': '84', 'Curve': '85', 'Penalties': '76', 'Volleys': '75', 'id': 555}",87,None,72,84,28,85,80,84,82,83,,80,76,75,,69,65,85,,84
3,True, Paris Saint-Germain,10,Neymar da Silva Santos Júnior, Brésilien,février,5,1992,30,"1,75",Attaquant polyvalent,Droitier,2099,3,Neymar,20,1797,19,16.53780734539032,13,12.280964711681008,91,70,4,1,F M,Paris Saint Germain,15,13.497421391308308,31.42877624928952,11.523165337741377,"{'Dribbling': '95', 'Marking': 'None', 'Aggression': '63', 'Reactions': '88', 'Interceptions': '37', 'Vision': '89', 'Composure': '93', 'Crossing': '84', 'Acceleration': '88', 'Stamina': '79', 'Strength': '52', 'Balance': '82', 'Agility': '93', 'Jumping': '62', 'Heading': '63', 'Finishing': '83', 'Curve': '88', 'Penalties': '91', 'Volleys': '86', 'FK': 'Specialist', 'Injury': 'Prone'}",95,None,63,88,37,89,93,84,88,52,,93,91,86,,62,63,88,Prone,83
4,True, FC Sion,45,Mario Balotelli Barwuah [1], Ghanéen   Italien (depuis 2008)[2],août,12,1990,32,"1,89",Avant-centre,Droit,1817,5,Mario Balotelli,28,2289,18,14.911137357354164,1,3.0626900047063828,108,32,11,1,F S,Nice,12,9.590470306575298,11.901695899665356,3.644095813855529,"{'Dribbling': '78', 'Marking': 'None', 'Aggression': '73', 'Reactions': '62', 'Interceptions': '30', 'Vision': '74', 'Composure': '80', 'Crossing': '64', 'Acceleration': '67', 'Stamina': '59', 'Strength': '91', 'Balance': '49', 'Agility': '68', 'Jumping': '72', 'Heading': '72', 'Finishing': '80', 'Curve': '76', 'Penalties': '91', 'Volleys': '78', 'Power': 'Free-Kick', 'Injury': 'Prone'}",78,None,73,62,30,74,80,64,67,91,,68,91,78,Free-Kick,72,72,76,Prone,80
5,True, Real Betis ,8,, Français Algérien,juillet,18,1993,29,"1,73",Milieu offensif / Attaquant,Gauche,3667,6,Nabil Fekir,30,2488,18,11.944972170516849,8,7.036876141093671,88,60,8,0,F M S,Lyon,15,8.90458970144391,17.899115040898323,7.284308968111873,"{'Dribbling': '89', 'Marking': 'None', 'Aggression': '79', 'Reactions': '81', 'Interceptions': '34', 'Vision': '87', 'Composure': '89', 'Crossing': '81', 'Acceleration': '88', 'Stamina': '80', 'Strength': '81', 'Balance': '91', 'Agility': '85', 'Jumping': '64', 'Heading': '49', 'Finishing': '83', 'Curve': '83', 'Penalties': '74', 'Volleys': '77', 'Power': 'Free-Kick', 'Finesse': 'Shot'}",89,None,79,81,34,87,89,81,88,81,,85,74,77,Free-Kick,64,49,83,,83
6,True, Borussia Mönchengladbach,14,Alassane Alexandre Pléa, Français Malien,mars,10,1993,29,"1,8",Attaquant,Droit,3310,9,Alassane Pléa,35,3045,16,13.466316292062402,5,3.0122389681637287,107,30,7,0,F S,Nice,15,11.9461242351681,17.2691379096359,3.268204786814749,"{'Dribbling': '77', 'Marking': 'None', 'Aggression': '67', 'Reactions': '82', 'Interceptions': '39', 'Vision': '81', 'Composure': '79', 'Crossing': '79', 'Acceleration': '77', 'Stamina': '77', 'Strength': '74', 'Balance': '79', 'Agility': '81', 'Jumping': '71', 'Heading': '73', 'Finishing': '79', 'Curve': '82', 'Penalties': '68', 'Volleys': '80', 'Finesse': 'Shot', 'id': 3310}",77,None,67,82,39,81,79,79,77,74,,81,68,80,,71,73,82,,79
7,True, ESTAC Troyes(en prêt du Séville FC),11,Marcos Paulo Mesquita Lopes, Brésilien Portugais,décembre,28,1995,27,"1,75","Milieu offensif, aillier",Gauche,3362,10,Rony Lopes,38,2559,15,10.683087401092052,5,5.735834030434489,68,41,2,0,M S,Monaco,15,10.683087401092052,19.162293888628483,5.228738319128752,"{'Dribbling': '77', 'Marking': 'None', 'Aggression': '39', 'Reactions': '67', 'Interceptions': '29', 'Vision': '73', 'Composure': '72', 'Crossing': '76', 'Acceleration': '82', 'Stamina': '68', 'Strength': '62', 'Balance': '88', 'Agility': '83', 'Jumping': '55', 'Heading': '38', 'Finishing': '71', 'Curve': '76', 'Penalties': '65', 'Volleys': '56'}",77,None,39,67,29,73,72,76,82,62,,83,65,56,,55,38,76,,71
8,True, LB Châteauroux,26,, Français,mars,1er,1988,34,"1,82",Attaquant,Droit,3512,11,Nolan Roux,35,2854,15,8.950713602826,1,1.6828645272180438,82,26,8,0,F M S,Metz,15,8.19061822630465,12.09038413502276,4.194664721377194,"{'Dribbling': '71', 'Marking': '43', 'Aggression': '53', 'Reactions': '65', 'Interceptions': '32', 'Vision': '64', 'Composure': '67', 'Crossing': '62', 'Acceleration': '66', 'Stamina': '62', 'Strength': '70', 'Balance': '69', 'Agility': '67', 'Jumping': '75', 'Heading': '72', 'Finishing': '68', 'Curve': '65', 'Penalties': '69', 'Volleys': '67'}",71,43,53,65,32,64,67,62,66,70,,67,69,67,,75,72,65,,68
9,True, İstanbul Başakşehir(en prêt d'Aston Villa),9,Bertrand Isidore Traoré, Burkinabé,septembre,6,1995,27,"1,83",Attaquant,Gauche,695,12,Bertrand Traoré,31,2293,13,9.106915744021537,4,2.8190845930948853,79,26,3,0,F M S,Lyon,13,9.106915744021537,17.78347520902753,7.707059936597943,"{'Dribbling': '81', 'Marking': 'None', 'Aggression': '60', 'Reactions': '68', 'Interceptions': '54', 'Vision': '73', 'Composure': '74', 'Crossing': '72', 'Acceleration': '76', 'Stamina': '64', 'Strength': '65', 'Balance': '59', 'Agility': '87', 'Jumping': '75', 'Heading': '66', 'Finishing': '74', 'Curve': '79', 'Penalties': '69', 'Volleys': '71', 'Injury': 'Prone', 'Finesse': 'Shot'}",81,None,60,68,54,73,74,72,76,65,,87,69,71,,75,66,79,Prone,74
